"_id",author,comment,content,like,title
5b2e52c452055a5824af3abc,铃铛子,34,一 历时1年半的打磨与生产，铃铛子的《21天简笔画萌萌哒手账训练营》和大家面基啦！ 这两年越来越多的人想学手绘，却不知道从哪里开始学，想要靠自己...,139,普通人可以快速高效掌握的手绘手账书来啦！
5b2e52c452055a5824af3abd,一鸣,127,一位作家这样总结写作者的三个阶段，第一阶段是自我表达期，第二阶段是刻意训练期，第三阶段是风格成熟期。 简单来说，第一阶段专注于个人世界的表达，写...,857,一套写小说的功夫
5b2e52c452055a5824af3abe,简书大学堂,18,互联网时代，我们习惯迷失在别人的故事当中。 喜欢秉持着阅读的态度，但从不讲究方式与记录。 喜欢比拼一年读了多少本书，但避而不谈读书的乐趣和过程。...,524,个人成长秘籍大公开
5b2e52c452055a5824af3abf,浅笑微印Natasha,92,2018年4月16日   星期一   天气 晴 四月，春意盎然，莺歌蝶舞，美丽的燕子南飞，在江南的土地上生息繁衍。而有一名特殊的客人，他就像燕子...,70,燕南飞，千里文缘一线牵
5b2e52c452055a5824af3ac0,太湖浪子,204,白驹过隙，过往去矣。少年头已白，余生还剩多少时光？十年，二十年，三十年...且不去考量。当下每一天，每一秒，不可辜负。 清晨，沐浴四月春阳，聆听...,222,余生，站成永恒
5b2e52c452055a5824af3ac1,灰土豆,0,这一系列文章是2010年—2013年在中国电影艺术研究中心（中国电影资料馆）念研究生期间写作的，以记录资料馆的电影学习与生活。电影的光如何渗进我...,2,电影的光 | 资料馆记事（13）
5b2e52c452055a5824af3ac2,shux33,0,题目：无人岛的开发与推广商业计划书 什么是“无人岛”？ 无人岛并非没人居住，而是未列入编制的海岛； 无人岛开发失败原因之一，是对开发的困难估计不...,2,【复盘】腾讯暑期实习产品运营群面
5b2e52c452055a5824af3ac3,lostdays,37,“你在干嘛。” “写东西。” “你写东西干嘛。” “为了不和你说话也不尴尬。” “你和我说话不就不尴尬了，”他一把扳过我笔记本的屏幕：“列车？这...,23,列车
5b2e52c452055a5824af3ac4,晖宗聊绘画,2,上大学的时候，有段时间很喜欢苏轼的词，但坦白的说，我并不喜欢他的人，他与王安石比起来，我觉得少了点实干精神。 “人生到处知何似，应似飞鸿踏雪泥”...,20,那年的诗与心中的远方
5b2e52c452055a5824af3ac5,灰土豆,0,六   舞台上火熊熊燃烧起来，把师徒四人紧紧围住了。这时候，穿着孙悟空戏服的滑板少年尽管明白自己是在一部电影里，却又真切地感受到了灼烧带来的疼痛...,3,未来奇谭 |《鬼影奇情录》（3）
